"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1","Amisulpride","-0.295(-0.582,-0.004)","-0.179(-0.534,0.189)","-0.386(-0.989,0.252)","-0.75(-1.615,0.184)","-0.289(-0.585,0.012)","0.254(-0.096,0.628)","-0.264(-0.522,-0.003)","-0.458(-0.82,-0.107)","-0.357(-0.688,-0.017)","-0.248(-0.672,0.166)","-0.093(-0.364,0.179)","-0.163(-0.455,0.131)","-0.206(-0.55,0.138)","-0.83(-1.089,-0.559)","-0.342(-0.629,-0.045)","-0.105(-0.382,0.187)","-0.415(-0.731,-0.091)","-0.403(-0.728,-0.061)","0.153(-0.677,1.184)","-0.204(-0.677,0.292)"
"2","0.295(0.004,0.582)","Aripiprazole","0.116(-0.164,0.4)","-0.091(-0.657,0.512)","-0.455(-1.292,0.456)","0.006(-0.201,0.208)","0.549(0.272,0.838)","0.031(-0.12,0.181)","-0.163(-0.45,0.111)","-0.062(-0.322,0.199)","0.047(-0.312,0.404)","0.202(0.045,0.358)","0.132(-0.058,0.321)","0.089(-0.179,0.347)","-0.535(-0.676,-0.392)","-0.047(-0.236,0.142)","0.19(0.013,0.381)","-0.12(-0.364,0.121)","-0.108(-0.348,0.134)","0.448(-0.353,1.464)","0.091(-0.317,0.522)"
"3","0.179(-0.189,0.534)","-0.116(-0.4,0.164)","Asenapine","-0.207(-0.799,0.416)","-0.571(-1.413,0.335)","-0.11(-0.399,0.17)","0.433(0.09,0.787)","-0.085(-0.344,0.167)","-0.279(-0.628,0.056)","-0.178(-0.508,0.143)","-0.069(-0.473,0.332)","0.086(-0.18,0.341)","0.016(-0.264,0.285)","-0.027(-0.356,0.293)","-0.651(-0.898,-0.413)","-0.163(-0.437,0.107)","0.074(-0.202,0.351)","-0.236(-0.562,0.076)","-0.224(-0.546,0.087)","0.332(-0.509,1.357)","-0.025(-0.482,0.446)"
"4","0.386(-0.252,0.989)","0.091(-0.512,0.657)","0.207(-0.416,0.799)","Brexpiprazole","-0.364(-1.372,0.654)","0.097(-0.504,0.673)","0.64(0.017,1.236)","0.122(-0.467,0.674)","-0.072(-0.706,0.516)","0.029(-0.586,0.638)","0.138(-0.549,0.783)","0.293(-0.297,0.847)","0.223(-0.372,0.789)","0.18(-0.445,0.771)","-0.444(-1.03,0.099)","0.044(-0.544,0.6)","0.281(-0.318,0.849)","-0.029(-0.656,0.554)","-0.017(-0.639,0.57)","0.539(-0.51,1.703)","0.182(-0.523,0.873)"
"5","0.75(-0.184,1.615)","0.455(-0.456,1.292)","0.571(-0.335,1.413)","0.364(-0.654,1.372)","Cariprazine","0.46(-0.452,1.296)","1.004(0.071,1.865)","0.485(-0.41,1.313)","0.292(-0.625,1.176)","0.393(-0.515,1.248)","0.502(-0.418,1.38)","0.657(-0.254,1.487)","0.587(-0.32,1.415)","0.543(-0.375,1.397)","-0.081(-0.977,0.748)","0.407(-0.487,1.235)","0.645(-0.268,1.493)","0.335(-0.574,1.181)","0.346(-0.571,1.183)","0.903(-0.37,2.223)","0.545(-0.471,1.457)"
"6","0.289(-0.012,0.585)","-0.006(-0.208,0.201)","0.11(-0.17,0.399)","-0.097(-0.673,0.504)","-0.46(-1.296,0.452)","Chlorpromazine","0.544(0.284,0.814)","0.025(-0.131,0.182)","-0.169(-0.461,0.107)","-0.068(-0.311,0.164)","0.042(-0.32,0.394)","0.197(0.026,0.368)","0.126(-0.076,0.326)","0.083(-0.189,0.35)","-0.541(-0.694,-0.39)","-0.053(-0.242,0.129)","0.185(-0.014,0.382)","-0.126(-0.378,0.122)","-0.114(-0.372,0.138)","0.442(-0.369,1.446)","0.085(-0.317,0.527)"
"7","-0.254(-0.628,0.096)","-0.549(-0.838,-0.272)","-0.433(-0.787,-0.09)","-0.64(-1.236,-0.017)","-1.004(-1.865,-0.071)","-0.544(-0.814,-0.284)","Clozapine","-0.519(-0.775,-0.281)","-0.712(-1.074,-0.374)","-0.611(-0.939,-0.292)","-0.502(-0.918,-0.087)","-0.347(-0.615,-0.095)","-0.417(-0.705,-0.146)","-0.46(-0.804,-0.129)","-1.085(-1.34,-0.844)","-0.596(-0.884,-0.328)","-0.359(-0.643,-0.088)","-0.669(-0.994,-0.353)","-0.658(-0.989,-0.341)","-0.101(-0.925,0.948)","-0.459(-0.922,0.011)"
"8","0.264(0.003,0.522)","-0.031(-0.181,0.12)","0.085(-0.167,0.344)","-0.122(-0.674,0.467)","-0.485(-1.313,0.41)","-0.025(-0.182,0.131)","0.519(0.281,0.775)","Haloperidol","-0.194(-0.454,0.04)","-0.093(-0.311,0.127)","0.016(-0.314,0.346)","0.172(0.067,0.276)","0.101(-0.05,0.251)","0.058(-0.181,0.296)","-0.566(-0.646,-0.487)","-0.078(-0.218,0.058)","0.16(0.015,0.306)","-0.151(-0.356,0.044)","-0.139(-0.353,0.078)","0.417(-0.374,1.424)","0.06(-0.334,0.475)"
"9","0.458(0.107,0.82)","0.163(-0.111,0.45)","0.279(-0.056,0.628)","0.072(-0.516,0.706)","-0.292(-1.176,0.625)","0.169(-0.107,0.461)","0.712(0.374,1.074)","0.194(-0.04,0.454)","Iloperidone","0.101(-0.223,0.431)","0.21(-0.192,0.621)","0.365(0.118,0.635)","0.295(0.03,0.583)","0.252(-0.076,0.588)","-0.372(-0.604,-0.115)","0.116(-0.155,0.396)","0.353(0.091,0.634)","0.043(-0.263,0.364)","0.055(-0.262,0.39)","0.611(-0.225,1.656)","0.254(-0.18,0.725)"
"10","0.357(0.017,0.688)","0.062(-0.199,0.322)","0.178(-0.143,0.508)","-0.029(-0.638,0.586)","-0.393(-1.248,0.515)","0.068(-0.164,0.311)","0.611(0.292,0.939)","0.093(-0.127,0.311)","-0.101(-0.431,0.223)","Loxapine","0.109(-0.284,0.489)","0.264(0.029,0.501)","0.194(-0.067,0.453)","0.151(-0.166,0.464)","-0.473(-0.693,-0.254)","0.015(-0.233,0.265)","0.252(-0.003,0.507)","-0.058(-0.354,0.236)","-0.046(-0.346,0.251)","0.51(-0.334,1.549)","0.153(-0.278,0.607)"
